Iteration,Category,data_type,Min,Max,Mean,Median,STD
140,Mixture,harmonic,-0.2,0.27,-0.0,0.0,0.05
137,Mixture,harmonic,-0.43,0.38,0.0,0.0,0.06
137,Mixture,percussive,-0.46,0.45,0.0,0.0,0.09
138,Mixture,harmonic,-0.32,0.32,-0.0,0.0,0.07
138,Mixture,percussive,-0.46,0.43,0.0,0.0,0.07
139,Mixture,harmonic,-0.35,0.36,-0.0,-0.0,0.07
139,Mixture,percussive,-0.35,0.33,-0.0,-0.0,0.05
140,Mixture,percussive,-0.39,0.4,-0.0,0.0,0.08
141,Mixture,harmonic,-0.32,0.33,-0.0,0.0,0.06
141,Mixture,percussive,-0.53,0.5,0.0,0.0,0.08
142,Mixture,harmonic,-0.36,0.38,-0.0,0.0,0.07
136,Mixture,percussive,-0.42,0.41,0.0,0.0,0.08
142,Mixture,percussive,-0.55,0.5,-0.0,-0.0,0.09
143,Mixture,percussive,-0.38,0.41,0.0,0.0,0.07
144,Mixture,harmonic,-0.27,0.28,-0.0,-0.0,0.07
144,Mixture,percussive,-0.46,0.42,-0.0,-0.0,0.08
145,Mixture,harmonic,-0.31,0.33,-0.0,-0.0,0.07
145,Mixture,percussive,-0.4,0.37,-0.0,-0.0,0.07
146,Mixture,harmonic,-0.31,0.26,-0.0,0.0,0.07
146,Mixture,percussive,-0.46,0.43,0.0,0.0,0.09
147,Mixture,harmonic,-0.23,0.27,-0.0,0.0,0.06
147,Mixture,percussive,-0.43,0.41,0.0,0.0,0.07
148,Mixture,harmonic,-0.34,0.33,-0.0,0.0,0.07
143,Mixture,harmonic,-0.32,0.35,0.0,0.0,0.07
148,Mixture,percussive,-0.4,0.42,0.0,0.0,0.07
136,Mixture,harmonic,-0.32,0.27,0.0,0.0,0.07
135,Mixture,harmonic,-0.35,0.34,-0.0,-0.0,0.07
124,Mixture,harmonic,-0.33,0.32,0.0,0.0,0.06
124,Mixture,percussive,-0.44,0.41,0.0,0.0,0.1
125,Mixture,harmonic,-0.34,0.42,-0.0,-0.0,0.09
125,Mixture,percussive,-0.39,0.4,0.0,0.0,0.08
126,Mixture,harmonic,-0.29,0.23,-0.0,0.0,0.05
126,Mixture,percussive,-0.46,0.41,0.0,-0.0,0.08
127,Mixture,harmonic,-0.5,0.37,-0.0,0.0,0.1
127,Mixture,percussive,-0.5,0.55,0.0,-0.0,0.09
128,Mixture,harmonic,-0.31,0.32,-0.0,0.0,0.07
128,Mixture,percussive,-0.42,0.53,-0.0,0.0,0.08
135,Mixture,percussive,-0.65,0.52,0.0,0.0,0.08
