Iteration,Category,data_type,Min,Max,Mean,Median,STD
140,Mixture,harmonic,-0.33,0.37,0.0,0.0,0.07
137,Mixture,harmonic,-0.29,0.31,-0.0,0.0,0.07
137,Mixture,skewness,-0.06,-0.06,-0.06,-0.06,0.0
138,Mixture,harmonic,-0.29,0.31,-0.0,-0.0,0.07
138,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
139,Mixture,harmonic,-0.33,0.3,-0.0,0.0,0.06
139,Mixture,skewness,-0.12,-0.12,-0.12,-0.12,0.0
140,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
141,Mixture,harmonic,-0.35,0.34,0.0,0.0,0.08
141,Mixture,skewness,-0.0,-0.0,-0.0,-0.0,0.0
142,Mixture,harmonic,-0.36,0.42,-0.0,0.0,0.08
136,Mixture,skewness,-0.0,-0.0,-0.0,-0.0,0.0
142,Mixture,skewness,0.12,0.12,0.12,0.12,0.0
143,Mixture,skewness,0.1,0.1,0.1,0.1,0.0
144,Mixture,harmonic,-0.31,0.31,-0.0,-0.0,0.08
144,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
145,Mixture,harmonic,-0.28,0.27,-0.0,0.0,0.06
145,Mixture,skewness,-0.25,-0.25,-0.25,-0.25,0.0
146,Mixture,harmonic,-0.35,0.32,-0.0,-0.0,0.08
146,Mixture,skewness,0.1,0.1,0.1,0.1,0.0
147,Mixture,harmonic,-0.33,0.27,-0.0,0.0,0.07
147,Mixture,skewness,-0.18,-0.18,-0.18,-0.18,0.0
148,Mixture,harmonic,-0.33,0.33,-0.0,0.0,0.07
143,Mixture,harmonic,-0.33,0.28,0.0,-0.0,0.06
148,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
136,Mixture,harmonic,-0.25,0.25,-0.0,-0.0,0.05
135,Mixture,harmonic,-0.26,0.3,-0.0,-0.0,0.06
124,Mixture,harmonic,-0.26,0.28,-0.0,-0.0,0.06
124,Mixture,skewness,0.1,0.1,0.1,0.1,0.0
125,Mixture,harmonic,-0.31,0.31,-0.0,0.0,0.05
125,Mixture,skewness,-0.07,-0.07,-0.07,-0.07,0.0
126,Mixture,harmonic,-0.28,0.32,0.0,0.0,0.06
126,Mixture,skewness,-0.06,-0.06,-0.06,-0.06,0.0
127,Mixture,harmonic,-0.54,0.52,-0.0,0.0,0.11
127,Mixture,skewness,0.0,0.0,0.0,0.0,0.0
128,Mixture,harmonic,-0.27,0.27,-0.0,0.0,0.07
128,Mixture,skewness,0.0,0.0,0.0,0.0,0.0
135,Mixture,skewness,0.11,0.11,0.11,0.11,0.0
129,Mixture,harmonic,-0.28,0.26,-0.0,-0.0,0.06
130,Mixture,harmonic,-0.34,0.38,0.0,0.0,0.08
130,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
131,Mixture,harmonic,-0.31,0.32,-0.0,0.0,0.07
131,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
132,Mixture,harmonic,-0.28,0.26,-0.0,0.0,0.06
132,Mixture,skewness,-0.16,-0.16,-0.16,-0.16,0.0
133,Mixture,harmonic,-0.29,0.23,-0.0,0.0,0.05
133,Mixture,skewness,-0.05,-0.05,-0.05,-0.05,0.0
134,Mixture,harmonic,-0.32,0.34,0.0,0.0,0.07
134,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
129,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
149,Mixture,harmonic,-0.32,0.38,0.0,-0.0,0.08
149,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
150,Mixture,harmonic,-0.27,0.29,-0.0,-0.0,0.05
164,Mixture,harmonic,-0.27,0.32,0.0,0.0,0.06
164,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
165,Mixture,harmonic,-0.31,0.29,0.0,0.0,0.07
165,Mixture,skewness,-0.05,-0.05,-0.05,-0.05,0.0
166,Mixture,harmonic,-0.31,0.29,0.0,-0.0,0.07
166,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
167,Mixture,harmonic,-0.31,0.28,-0.0,-0.0,0.06
167,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
168,Mixture,harmonic,-0.29,0.34,0.0,-0.0,0.07
168,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
163,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
169,Mixture,harmonic,-0.3,0.29,0.0,0.0,0.07
170,Mixture,harmonic,-0.36,0.38,-0.0,0.0,0.07
170,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
171,Mixture,harmonic,-0.34,0.29,0.0,-0.0,0.08
171,Mixture,skewness,-0.07,-0.07,-0.07,-0.07,0.0
172,Mixture,harmonic,-0.31,0.28,0.0,0.0,0.06
172,Mixture,skewness,-0.06,-0.06,-0.06,-0.06,0.0
173,Mixture,harmonic,-0.3,0.32,0.0,-0.0,0.06
173,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
174,Mixture,harmonic,-0.33,0.35,0.0,0.0,0.08
174,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
169,Mixture,skewness,-0.26,-0.26,-0.26,-0.26,0.0
163,Mixture,harmonic,-0.31,0.32,-0.0,-0.0,0.08
162,Mixture,skewness,-0.06,-0.06,-0.06,-0.06,0.0
162,Mixture,harmonic,-0.31,0.29,-0.0,-0.0,0.07
150,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
151,Mixture,harmonic,-0.29,0.3,0.0,0.0,0.06
151,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
152,Mixture,harmonic,-0.35,0.34,0.0,-0.0,0.07
152,Mixture,skewness,0.04,0.04,0.04,0.04,0.0
153,Mixture,harmonic,-0.36,0.33,-0.0,-0.0,0.07
153,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
154,Mixture,harmonic,-0.31,0.38,-0.0,0.0,0.07
154,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
155,Mixture,harmonic,-0.39,0.35,-0.0,-0.0,0.08
155,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
156,Mixture,harmonic,-0.34,0.39,-0.0,0.0,0.07
156,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
157,Mixture,harmonic,-0.27,0.37,-0.0,-0.0,0.06
157,Mixture,skewness,0.15,0.15,0.15,0.15,0.0
158,Mixture,harmonic,-0.27,0.34,0.0,0.0,0.06
158,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
159,Mixture,harmonic,-0.34,0.29,0.0,0.0,0.07
159,Mixture,skewness,-0.1,-0.1,-0.1,-0.1,0.0
160,Mixture,harmonic,-0.32,0.33,-0.0,0.0,0.07
160,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
161,Mixture,harmonic,-0.27,0.29,-0.0,-0.0,0.06
161,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
123,Mixture,skewness,-0.19,-0.19,-0.19,-0.19,0.0
123,Mixture,harmonic,-0.39,0.4,0.0,0.0,0.09
122,Mixture,skewness,-0.05,-0.05,-0.05,-0.05,0.0
122,Mixture,harmonic,-0.4,0.39,-0.0,0.0,0.08
84,Mixture,skewness,-0.02,-0.02,-0.02,-0.02,0.0
85,Mixture,harmonic,-0.3,0.33,0.0,-0.0,0.08
85,Mixture,skewness,0.11,0.11,0.11,0.11,0.0
86,Mixture,harmonic,-0.32,0.31,-0.0,0.0,0.07
86,Mixture,skewness,-0.07,-0.07,-0.07,-0.07,0.0
