Model,Item,Precision,Recall,F1 Score,Accuracy
Thresold Model,speech,1.0,2.0,1.3333333730697632,0.0
MTL Model,speech,0.653333306312561,0.9800000190734863,0.7839999794960022,0.8402366638183594
SVM,speech,1.0,0.11999999731779099,0.2142857015132904,0.03999999910593033
Random Forest,speech,1.0,0.3199999928474426,0.4848484992980957,0.07999999821186066
Thresold Model,music,2.0,2.0,2.0,1.0
MTL Model,music,0.699999988079071,0.5645161271095276,0.625,0.7514792680740356
SVM,music,1.0,1.0161290168762207,1.0080000162124634,0.14516128599643707
Random Forest,music,1.0,0.9838709831237793,0.9918699264526367,0.3709677457809448
Thresold Model,mixed,0.0,0.0,0.0,0.0
MTL Model,mixed,0.6818181872367859,0.2631579041481018,0.37974685430526733,0.7100591659545898
SVM,mixed,1.0,1.438596487045288,1.1798560619354248,0.17543859779834747
Random Forest,mixed,1.0,1.4736841917037964,1.191489338874817,0.24561403691768646
